"","Species","Group","first_year","last_year","lat_range","Latitude","Longitude","lat_abs","dist_trailing","dist_leading","reldist_leading","reldist_trailing","cross_equator","status"
"15488","Lithobates capito","Amphibians",1986,1989,8.5592089,29.68333,-82,29.68333,2.974963,5.5842459,34.7574528762816,65.2425471237184,0,"decreasing"
"15489","Lithobates catesbeianus","Amphibians",1984,2005,28.3990412,43.06917,-89.40861,43.06917,23.0175481,5.3814931,81.0504408860113,18.9495591139887,0,"decreasing"
"15490","Lithobates catesbeianus","Amphibians",1985,1993,28.3990412,45.58333,-78.5,45.58333,25.5317081,2.8673331,89.9034158237708,10.0965841762292,0,"decreasing"
"15491","Lithobates catesbeianus","Amphibians",1990,1991,28.3990412,44.35333,-78.74111,44.35333,24.3017081,4.0973331,85.5722836868169,14.4277163131831,0,"decreasing"
"15492","Lithobates catesbeianus","Amphibians",1991,1995,28.3990412,41.72556,-87.85278,41.72556,21.6739381,6.7251031,76.3192600319197,23.6807399680803,0,"increasing"
"15493","Lithobates catesbeianus","Amphibians",1995,2002,28.3990412,45,-85,45,24.9483781,3.4506631,87.8493676047063,12.1506323952937,0,"decreasing"
"15494","Lithobates clamitans","Amphibians",1979,1995,23.3870493,33.27806,-81.72944,33.27806,6.0724313,17.314618,25.964931369089,74.035068630911,0,"decreasing"
"15495","Lithobates clamitans","Amphibians",1985,1990,23.3870493,45.58333,-78.5,45.58333,18.3777013,5.009348,78.5806754168,21.4193245832,0,"decreasing"
"15496","Lithobates clamitans","Amphibians",1991,1994,23.3870493,41.96694,-82.53278,41.96694,14.7613113,8.625738,63.1174591999513,36.8825408000487,0,"decreasing"
"15497","Lithobates clamitans","Amphibians",1992,1994,23.3870493,42.16667,-82.81667,42.16667,14.9610413,8.426008,63.9714788645868,36.0285211354132,0,"increasing"
"15498","Lithobates clamitans","Amphibians",1992,1994,23.3870493,43.37,-80.98194,43.37,16.1643713,7.222678,69.1167624126059,30.8832375873941,0,"constant"
"15499","Lithobates clamitans","Amphibians",1992,1994,23.3870493,44.42389,-81.10944,44.42389,17.2182613,6.168788,73.6230598359409,26.3769401640591,0,"decreasing"
"15500","Lithobates clamitans","Amphibians",1995,2001,23.3870493,45,-85,45,17.7943713,5.592678,76.0864317329677,23.9135682670323,0,"decreasing"
"15501","Lithobates clamitans","Amphibians",1995,2006,23.3870493,49.25,-84.499722,49.25,22.0443713,1.342678,94.2588824148928,5.74111758510723,0,"decreasing"
"15502","Lithobates palustris","Amphibians",1984,2005,20.4297067,43.06917,-89.40861,43.06917,14.249905,6.1798017,69.750903472344,30.249096527656,0,"increasing"
"15503","Lithobates palustris","Amphibians",1995,1996,20.4297067,45.616667,-65.031944,45.616667,16.797402,3.6323047,82.2204755391814,17.7795244608186,0,"decreasing"
"15504","Lithobates pipiens","Amphibians",1977,1979,29.4474227,40.85972,-105.58944,40.85972,9.0815148,20.3659079,30.839761063368,69.160238936632,0,"decreasing"
"15505","Lithobates pipiens","Amphibians",1984,2005,29.4474227,43.06917,-89.40861,43.06917,11.2909648,18.1564579,38.3427945970973,61.6572054029027,0,"increasing"
"15506","Lithobates pipiens","Amphibians",1991,1994,29.4474227,41.96694,-82.53278,41.96694,10.1887348,19.2586879,34.5997505581363,65.4002494418637,0,"decreasing"
"15507","Lithobates pipiens","Amphibians",1991,1995,29.4474227,41.72556,-87.85278,41.72556,9.9473548,19.5000679,33.7800523371439,66.2199476628561,0,"increasing"
"15508","Lithobates pipiens","Amphibians",1995,2002,29.4474227,45,-85,45,13.2217948,16.2256279,44.8996672296214,55.1003327703786,0,"decreasing"
"15509","Lithobates pipiens","Amphibians",1995,2006,29.4474227,49.25,-84.499722,49.25,17.4717948,11.9756279,59.3321696706585,40.6678303293415,0,"decreasing"
"15510","Lithobates pipiens","Amphibians",1999,2006,29.4474227,49.63306,-110.2,49.63306,17.8548548,11.5925679,60.6329965847911,39.3670034152089,0,"increasing"
"15511","Lithobates septentrionalis","Amphibians",1985,1993,12.4803937,45.58333,-78.5,45.58333,3.8882911,8.5921026,31.1551958493104,68.8448041506896,0,"increasing"
"15512","Lithobates sylvaticus","Amphibians",1974,1979,38.3003549,38.571111,-79.0275,38.571111,5.4808113,32.8195436,14.3100796697839,85.689920330216,0,"decreasing"
"15513","Lithobates sylvaticus","Amphibians",1975,1982,38.3003549,38.49556,-78.46472,38.49556,5.4052603,32.8950946,14.1128204010454,85.8871795989546,0,"increasing"
